origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,duration_min,origin_temp,origin_wind,dest_temp,dest_wind,avg_temp_along_route,avg_wind_along_route,route_conditions,delay_min
Warangal,Anantapur,17.9784,79.5941,14.6819,77.6006,423.8,508,36.2,4.9,38.3,1.1,37.8,3.2,"['fog', 'fog', 'clear', 'clear', 'sunny', 'sunny', 'clear', 'clouds', 'clouds', 'clear']",17
Vijayawada,Karimnagar,16.5062,80.648,18.4386,79.1288,268.6,322,30.2,4.1,30.0,3.0,30.2,3.7,"['sunny', 'fog', 'clouds', 'clouds', 'clouds', 'storm', 'sunny', 'fog', 'sunny', 'clouds']",13
Adilabad,Nellore,19.6667,78.5333,14.4426,79.9865,601.1,721,33.5,2.6,38.4,1.6,34.6,2.3,"['clear', 'fog', 'clouds', 'clear', 'rain', 'clouds', 'rain', 'clear', 'clear', 'clear']",12
Karimnagar,Warangal,18.4386,79.1288,17.9784,79.5941,71.0,85,30.2,3.4,31.2,2.5,28.9,2.8,"['storm', 'storm', 'rain', 'clouds', 'clear', 'clouds', 'clouds', 'storm', 'fog', 'fog']",4
Khammam,Anantapur,17.2473,80.1514,14.6819,77.6006,394.6,473,32.3,4.4,30.1,3.1,32.8,4.0,"['rain', 'clouds', 'clear', 'clear', 'clouds', 'storm', 'clear', 'clear', 'storm', 'clear']",14
Karimnagar,Guntur,18.4386,79.1288,16.3067,80.4365,274.7,329,35.9,2.9,33.7,3.4,33.0,3.0,"['storm', 'clouds', 'storm', 'sunny', 'sunny', 'clear', 'sunny', 'fog', 'sunny', 'storm']",20
Nizamabad,Anantapur,18.6725,78.0941,14.6819,77.6006,446.8,536,38.5,4.6,35.0,4.9,36.1,4.6,"['clouds', 'sunny', 'sunny', 'fog', 'rain', 'clouds', 'rain', 'clear', 'clear', 'sunny']",16
Karimnagar,Hyderabad,18.4386,79.1288,17.385,78.4867,135.4,162,33.1,1.3,30.4,4.2,29.9,2.5,"['clear', 'clouds', 'sunny', 'clear', 'clear', 'fog', 'fog', 'clouds', 'fog', 'rain']",8
Anantapur,Kurnool,14.6819,77.6006,15.8281,78.0373,135.8,162,39.3,2.1,36.7,1.1,37.5,2.0,"['clear', 'clear', 'clear', 'sunny', 'rain', 'clouds', 'clear', 'rain', 'fog', 'clear']",9
Anantapur,Visakhapatnam,14.6819,77.6006,17.6868,83.2185,686.6,823,38.6,2.9,31.2,1.2,33.2,2.1,"['sunny', 'rain', 'sunny', 'clear', 'rain', 'fog', 'clouds', 'clear', 'fog', 'clear']",12
Kurnool,Guntur,15.8281,78.0373,16.3067,80.4365,261.8,314,38.5,2.3,32.0,1.3,36.3,1.5,"['sunny', 'clouds', 'storm', 'clear', 'clouds', 'clear', 'rain', 'storm', 'sunny', 'sunny']",13
Visakhapatnam,Nizamabad,17.6868,83.2185,18.6725,78.0941,552.3,662,30.7,3.3,39.9,3.8,35.4,3.9,"['clear', 'clear', 'rain', 'clear', 'sunny', 'rain', 'sunny', 'sunny', 'fog', 'sunny']",17
Rajahmundry,Khammam,17.0005,81.804,17.2473,80.1514,177.7,213,38.9,1.9,36.1,1.4,36.4,1.2,"['clouds', 'clouds', 'sunny', 'sunny', 'clear', 'sunny', 'storm', 'sunny', 'sunny', 'clouds']",16
Vijayawada,Kurnool,16.5062,80.648,15.8281,78.0373,288.8,346,32.4,1.1,36.4,2.1,34.4,1.2,"['fog', 'clear', 'sunny', 'storm', 'clouds', 'clear', 'fog', 'rain', 'rain', 'fog']",16
Nellore,Hyderabad,14.4426,79.9865,17.385,78.4867,364.4,437,30.5,2.2,30.2,3.1,31.4,2.8,"['clear', 'sunny', 'fog', 'storm', 'sunny', 'clear', 'fog', 'sunny', 'fog', 'rain']",16
Kurnool,Tirupati,15.8281,78.0373,13.6288,79.4192,286.2,343,31.9,3.3,35.1,3.0,34.8,3.0,"['clouds', 'clouds', 'clear', 'rain', 'rain', 'sunny', 'sunny', 'fog', 'sunny', 'fog']",14
Nizamabad,Adilabad,18.6725,78.0941,19.6667,78.5333,119.8,143,33.3,1.9,38.6,2.5,34.0,2.6,"['rain', 'clear', 'clouds', 'sunny', 'clear', 'sunny', 'sunny', 'rain', 'clear', 'clear']",10
Nellore,Karimnagar,14.4426,79.9865,18.4386,79.1288,453.6,544,38.3,3.4,33.9,1.2,35.1,1.8,"['clouds', 'sunny', 'clear', 'sunny', 'storm', 'clear', 'clear', 'clear', 'clear', 'clear']",17
Khammam,Nizamabad,17.2473,80.1514,18.6725,78.0941,269.2,323,37.6,3.8,31.1,1.7,33.7,2.5,"['rain', 'clear', 'fog', 'rain', 'clear', 'rain', 'rain', 'rain', 'clouds', 'clouds']",16
Hyderabad,Kadapa,17.385,78.4867,14.4674,78.8241,326.4,391,33.3,4.6,37.2,1.5,37.0,3.0,"['storm', 'sunny', 'sunny', 'clear', 'clouds', 'clouds', 'fog', 'rain', 'clouds', 'rain']",15
Rajahmundry,Nizamabad,17.0005,81.804,18.6725,78.0941,434.5,521,38.0,1.1,30.5,4.1,33.7,3.0,"['rain', 'sunny', 'fog', 'clouds', 'sunny', 'clouds', 'clouds', 'sunny', 'clear', 'rain']",15
Anantapur,Adilabad,14.6819,77.6006,19.6667,78.5333,563.1,675,32.3,2.3,31.1,3.8,30.1,3.4,"['clear', 'storm', 'rain', 'clouds', 'fog', 'clear', 'sunny', 'rain', 'clouds', 'rain']",20
Guntur,Khammam,16.3067,80.4365,17.2473,80.1514,108.9,130,31.6,4.6,32.5,1.7,33.4,3.5,"['clear', 'sunny', 'clear', 'clouds', 'sunny', 'clouds', 'rain', 'clear', 'clear', 'clouds']",4
Guntur,Kadapa,16.3067,80.4365,14.4674,78.8241,267.8,321,34.5,2.7,33.3,2.2,33.7,2.4,"['clear', 'clear', 'rain', 'sunny', 'fog', 'sunny', 'rain', 'fog', 'fog', 'fog']",17
Khammam,Tirupati,17.2473,80.1514,13.6288,79.4192,409.9,491,35.2,2.9,37.4,4.0,37.8,3.2,"['clear', 'fog', 'fog', 'storm', 'clear', 'clouds', 'clouds', 'clear', 'storm', 'sunny']",21
Khammam,Vijayawada,17.2473,80.1514,16.5062,80.648,97.9,117,36.9,3.8,38.0,4.8,36.4,4.1,"['clouds', 'fog', 'rain', 'rain', 'clouds', 'sunny', 'clear', 'sunny', 'clouds', 'sunny']",3
Hyderabad,Kadapa,17.385,78.4867,14.4674,78.8241,326.4,391,32.2,3.8,33.2,2.1,30.9,3.4,"['storm', 'clouds', 'fog', 'clouds', 'clouds', 'clouds', 'fog', 'rain', 'clear', 'clear']",15
Kurnool,Khammam,15.8281,78.0373,17.2473,80.1514,275.1,330,36.3,4.3,30.3,4.4,34.4,4.8,"['rain', 'clear', 'clouds', 'fog', 'sunny', 'clouds', 'clouds', 'fog', 'clear', 'clear']",17
Kadapa,Tirupati,14.4674,78.8241,13.6288,79.4192,113.2,135,35.8,2.6,37.0,3.1,35.5,2.7,"['clouds', 'clear', 'clouds', 'clear', 'rain', 'rain', 'sunny', 'sunny', 'fog', 'sunny']",6
Rajahmundry,Khammam,17.0005,81.804,17.2473,80.1514,177.7,213,31.7,3.0,38.5,4.7,33.3,4.3,"['clouds', 'sunny', 'rain', 'clouds', 'clear', 'clear', 'clouds', 'clear', 'storm', 'sunny']",19
Nellore,Nizamabad,14.4426,79.9865,18.6725,78.0941,511.7,614,39.1,2.4,36.9,3.9,36.3,2.7,"['sunny', 'sunny', 'sunny', 'clear', 'fog', 'rain', 'sunny', 'storm', 'clouds', 'fog']",13
Nizamabad,Hyderabad,18.6725,78.0941,17.385,78.4867,149.1,178,39.1,1.8,30.5,4.7,35.2,3.4,"['clear', 'sunny', 'clear', 'sunny', 'fog', 'sunny', 'clear', 'fog', 'clouds', 'rain']",4
Warangal,Adilabad,17.9784,79.5941,19.6667,78.5333,218.4,262,38.1,2.2,39.9,3.6,37.0,2.5,"['sunny', 'storm', 'clear', 'rain', 'fog', 'clouds', 'clear', 'clouds', 'sunny', 'rain']",15
Rajahmundry,Nizamabad,17.0005,81.804,18.6725,78.0941,434.5,521,32.9,3.6,34.4,2.9,35.5,3.0,"['clear', 'storm', 'fog', 'clear', 'clear', 'clear', 'clear', 'clouds', 'rain', 'clouds']",17
Rajahmundry,Vijayawada,17.0005,81.804,16.5062,80.648,134.8,161,36.6,3.1,39.8,4.8,37.3,4.3,"['fog', 'sunny', 'clear', 'sunny', 'rain', 'clear', 'sunny', 'clouds', 'clouds', 'clear']",4
Vijayawada,Warangal,16.5062,80.648,17.9784,79.5941,198.3,237,33.3,3.3,35.0,2.4,32.4,3.0,"['clear', 'fog', 'clouds', 'clouds', 'clouds', 'fog', 'sunny', 'sunny', 'clouds', 'clouds']",9
Nellore,Vijayawada,14.4426,79.9865,16.5062,80.648,240.2,288,32.6,3.4,36.1,2.7,32.8,3.3,"['fog', 'rain', 'clear', 'sunny', 'clear', 'clouds', 'clear', 'rain', 'sunny', 'rain']",15
Kadapa,Kurnool,14.4674,78.8241,15.8281,78.0373,173.3,207,32.0,1.9,37.9,2.6,34.6,2.6,"['sunny', 'sunny', 'rain', 'clear', 'rain', 'rain', 'sunny', 'clouds', 'rain', 'rain']",19
Vijayawada,Hyderabad,16.5062,80.648,17.385,78.4867,249.8,299,30.3,2.9,32.7,4.2,31.1,3.8,"['fog', 'rain', 'clouds', 'sunny', 'sunny', 'clear', 'clear', 'fog', 'clouds', 'clouds']",20
Vijayawada,Karimnagar,16.5062,80.648,18.4386,79.1288,268.6,322,32.2,2.8,33.2,5.0,31.7,4.3,"['clear', 'clear', 'rain', 'clouds', 'sunny', 'clear', 'clear', 'sunny', 'sunny', 'rain']",14
Vijayawada,Nizamabad,16.5062,80.648,18.6725,78.0941,362.3,434,31.3,1.8,38.8,3.7,33.9,2.9,"['fog', 'sunny', 'clouds', 'storm', 'sunny', 'storm', 'rain', 'fog', 'clear', 'sunny']",15
Karimnagar,Khammam,18.4386,79.1288,17.2473,80.1514,171.1,205,36.6,3.6,38.0,1.9,37.4,2.9,"['clouds', 'fog', 'sunny', 'fog', 'storm', 'rain', 'sunny', 'sunny', 'clear', 'clear']",23
Nizamabad,Kadapa,18.6725,78.0941,14.4674,78.8241,474.0,568,38.8,3.7,37.3,4.8,39.3,4.2,"['rain', 'rain', 'fog', 'clear', 'clouds', 'sunny', 'clouds', 'rain', 'clouds', 'clear']",14
Kurnool,Visakhapatnam,15.8281,78.0373,17.6868,83.2185,589.1,706,30.5,1.3,36.9,1.3,32.3,1.1,"['clouds', 'sunny', 'clear', 'clouds', 'sunny', 'rain', 'sunny', 'clear', 'sunny', 'clouds']",19
Guntur,Nellore,16.3067,80.4365,14.4426,79.9865,212.8,255,37.5,3.0,37.5,1.5,37.8,1.9,"['sunny', 'rain', 'rain', 'clear', 'rain', 'clouds', 'sunny', 'clouds', 'rain', 'clear']",17
Kurnool,Khammam,15.8281,78.0373,17.2473,80.1514,275.1,330,34.4,1.8,38.4,2.7,34.9,1.9,"['clear', 'clear', 'clear', 'clear', 'clear', 'sunny', 'sunny', 'clear', 'sunny', 'sunny']",5
Tirupati,Guntur,13.6288,79.4192,16.3067,80.4365,317.2,380,34.4,2.4,38.1,1.9,34.8,2.5,"['rain', 'sunny', 'clear', 'sunny', 'rain', 'clear', 'clear', 'clear', 'clear', 'fog']",15
Karimnagar,Tirupati,18.4386,79.1288,13.6288,79.4192,535.7,642,38.3,2.7,38.4,1.1,39.2,1.4,"['clear', 'storm', 'clear', 'sunny', 'rain', 'rain', 'clouds', 'rain', 'sunny', 'rain']",12
Visakhapatnam,Khammam,17.6868,83.2185,17.2473,80.1514,329.0,394,33.6,4.5,39.6,4.8,38.1,4.8,"['clear', 'clouds', 'rain', 'sunny', 'clouds', 'sunny', 'clear', 'sunny', 'clear', 'sunny']",18
Nellore,Kurnool,14.4426,79.9865,15.8281,78.0373,259.8,311,36.4,4.6,33.6,4.1,34.7,4.0,"['clear', 'sunny', 'rain', 'clear', 'rain', 'sunny', 'clouds', 'clear', 'sunny', 'rain']",13
Nizamabad,Warangal,18.6725,78.0941,17.9784,79.5941,176.1,211,36.0,2.5,37.0,2.7,38.1,2.9,"['clear', 'fog', 'fog', 'clear', 'fog', 'fog', 'rain', 'storm', 'clouds', 'rain']",19
Vijayawada,Hyderabad,16.5062,80.648,17.385,78.4867,249.8,299,34.2,3.3,38.9,2.7,38.2,2.8,"['clear', 'clouds', 'clear', 'storm', 'fog', 'clear', 'rain', 'sunny', 'rain', 'clouds']",10
Visakhapatnam,Nellore,17.6868,83.2185,14.4426,79.9865,499.4,599,38.7,2.0,31.4,2.6,34.9,2.2,"['clear', 'fog', 'fog', 'clear', 'clouds', 'clouds', 'sunny', 'clouds', 'sunny', 'clouds']",17
Anantapur,Khammam,14.6819,77.6006,17.2473,80.1514,394.6,473,34.2,3.3,31.3,3.6,34.3,3.6,"['sunny', 'clouds', 'rain', 'clear', 'clouds', 'clouds', 'clouds', 'clouds', 'sunny', 'clouds']",9
Tirupati,Hyderabad,13.6288,79.4192,17.385,78.4867,429.4,515,35.3,2.9,32.8,4.0,35.8,3.9,"['fog', 'storm', 'fog', 'sunny', 'sunny', 'clear', 'clear', 'clear', 'clouds', 'sunny']",18
Karimnagar,Warangal,18.4386,79.1288,17.9784,79.5941,71.0,85,33.3,4.2,34.3,4.2,34.5,3.8,"['fog', 'fog', 'rain', 'fog', 'rain', 'clouds', 'clear', 'sunny', 'fog', 'rain']",9
Nellore,Karimnagar,14.4426,79.9865,18.4386,79.1288,453.6,544,36.0,2.9,33.2,3.3,35.9,3.4,"['sunny', 'clouds', 'clear', 'clear', 'clear', 'clouds', 'clear', 'sunny', 'rain', 'sunny']",15
Khammam,Warangal,17.2473,80.1514,17.9784,79.5941,100.5,120,35.7,2.7,37.3,2.4,38.3,3.0,"['sunny', 'sunny', 'rain', 'clear', 'storm', 'sunny', 'clouds', 'sunny', 'clear', 'clear']",6
Kadapa,Warangal,14.4674,78.8241,17.9784,79.5941,399.0,478,32.6,1.7,39.1,1.6,37.4,1.2,"['fog', 'clear', 'rain', 'clouds', 'rain', 'sunny', 'clouds', 'fog', 'sunny', 'clear']",18
Tirupati,Kadapa,13.6288,79.4192,14.4674,78.8241,113.2,135,37.1,3.9,37.8,1.7,37.2,2.4,"['clear', 'clear', 'clear', 'clear', 'clouds', 'clear', 'storm', 'sunny', 'sunny', 'clear']",6
Tirupati,Khammam,13.6288,79.4192,17.2473,80.1514,409.9,491,39.8,4.3,33.8,4.0,37.6,4.3,"['clear', 'clear', 'fog', 'storm', 'sunny', 'clear', 'clear', 'fog', 'clouds', 'storm']",12
Tirupati,Kadapa,13.6288,79.4192,14.4674,78.8241,113.2,135,35.3,4.4,35.7,2.2,35.7,3.5,"['clouds', 'sunny', 'sunny', 'storm', 'clouds', 'clear', 'rain', 'clouds', 'clear', 'clouds']",10
Rajahmundry,Karimnagar,17.0005,81.804,18.4386,79.1288,325.4,390,35.0,1.1,35.4,4.8,33.5,3.1,"['sunny', 'clear', 'clear', 'storm', 'rain', 'clouds', 'sunny', 'sunny', 'clear', 'clouds']",13
Nellore,Hyderabad,14.4426,79.9865,17.385,78.4867,364.4,437,39.9,4.1,31.1,2.3,36.9,3.4,"['clear', 'clear', 'fog', 'clear', 'sunny', 'rain', 'sunny', 'rain', 'sunny', 'sunny']",18
Kurnool,Karimnagar,15.8281,78.0373,18.4386,79.1288,312.6,375,38.3,1.6,34.3,1.6,37.1,1.4,"['clear', 'clear', 'clouds', 'clouds', 'rain', 'clouds', 'sunny', 'rain', 'sunny', 'clear']",22
Karimnagar,Guntur,18.4386,79.1288,16.3067,80.4365,274.7,329,37.8,3.3,36.5,4.9,38.7,4.2,"['sunny', 'clear', 'clear', 'clouds', 'clear', 'rain', 'sunny', 'clouds', 'sunny', 'clear']",20
Kadapa,Nellore,14.4674,78.8241,14.4426,79.9865,125.2,150,30.5,1.8,34.8,1.2,33.6,1.7,"['sunny', 'sunny', 'clouds', 'clear', 'fog', 'rain', 'clear', 'clouds', 'fog', 'clear']",6
Adilabad,Tirupati,19.6667,78.5333,13.6288,79.4192,678.0,813,33.9,2.2,31.8,4.8,33.8,3.7,"['clouds', 'clouds', 'fog', 'sunny', 'clear', 'sunny', 'clouds', 'rain', 'fog', 'clear']",20
Guntur,Kurnool,16.3067,80.4365,15.8281,78.0373,261.8,314,37.1,1.5,37.8,4.8,35.9,3.3,"['storm', 'clear', 'sunny', 'rain', 'clear', 'rain', 'fog', 'clouds', 'clouds', 'rain']",19
Warangal,Nellore,17.9784,79.5941,14.4426,79.9865,395.4,474,32.3,2.0,39.0,2.3,34.0,2.3,"['clear', 'sunny', 'sunny', 'clear', 'clouds', 'rain', 'fog', 'sunny', 'clouds', 'sunny']",20
Adilabad,Nellore,19.6667,78.5333,14.4426,79.9865,601.1,721,34.6,1.6,30.8,3.5,31.6,2.2,"['sunny', 'clear', 'clouds', 'fog', 'clear', 'clear', 'sunny', 'fog', 'clear', 'fog']",20
Khammam,Warangal,17.2473,80.1514,17.9784,79.5941,100.5,120,31.1,1.5,37.1,1.9,33.2,2.1,"['clouds', 'fog', 'clear', 'fog', 'rain', 'clear', 'fog', 'fog', 'clear', 'clouds']",5
Adilabad,Anantapur,19.6667,78.5333,14.6819,77.6006,563.1,675,30.9,4.3,31.9,3.6,31.2,3.9,"['clear', 'clear', 'clouds', 'rain', 'sunny', 'sunny', 'clouds', 'fog', 'clear', 'clear']",21
Kadapa,Warangal,14.4674,78.8241,17.9784,79.5941,399.0,478,39.7,1.9,35.0,4.3,38.4,2.7,"['clear', 'storm', 'clear', 'rain', 'sunny', 'sunny', 'clear', 'clouds', 'rain', 'clear']",25
Nellore,Adilabad,14.4426,79.9865,19.6667,78.5333,601.1,721,34.8,2.9,39.0,1.9,38.4,2.3,"['sunny', 'fog', 'clear', 'clouds', 'clear', 'clouds', 'clear', 'sunny', 'clouds', 'sunny']",23
Hyderabad,Guntur,17.385,78.4867,16.3067,80.4365,239.7,287,34.9,4.5,38.7,2.9,37.6,4.2,"['sunny', 'clear', 'clouds', 'sunny', 'sunny', 'sunny', 'clouds', 'clear', 'clouds', 'sunny']",8
Nellore,Tirupati,14.4426,79.9865,13.6288,79.4192,109.2,131,33.8,4.8,31.4,3.3,34.4,4.3,"['sunny', 'sunny', 'sunny', 'clouds', 'clear', 'rain', 'storm', 'clear', 'clouds', 'rain']",9
Nizamabad,Karimnagar,18.6725,78.0941,18.4386,79.1288,112.1,134,32.3,2.4,38.2,4.8,37.0,3.7,"['clear', 'sunny', 'clouds', 'clouds', 'clouds', 'storm', 'clear', 'clouds', 'clouds', 'clouds']",9
Nellore,Nizamabad,14.4426,79.9865,18.6725,78.0941,511.7,614,34.7,4.3,34.5,3.7,35.3,3.8,"['sunny', 'sunny', 'clear', 'clear', 'sunny', 'storm', 'rain', 'storm', 'clouds', 'sunny']",14
Vijayawada,Nizamabad,16.5062,80.648,18.6725,78.0941,362.3,434,33.0,2.0,31.6,3.3,30.8,2.5,"['rain', 'clear', 'sunny', 'sunny', 'sunny', 'clear', 'rain', 'clear', 'clear', 'clouds']",20
Tirupati,Nellore,13.6288,79.4192,14.4426,79.9865,109.2,131,30.5,2.2,30.2,4.8,28.6,3.1,"['rain', 'clouds', 'clear', 'clouds', 'sunny', 'sunny', 'fog', 'fog', 'clear', 'rain']",9
Khammam,Warangal,17.2473,80.1514,17.9784,79.5941,100.5,120,30.2,3.3,35.1,2.4,34.4,3.2,"['rain', 'clouds', 'sunny', 'clear', 'clear', 'sunny', 'fog', 'sunny', 'sunny', 'rain']",10
Visakhapatnam,Guntur,17.6868,83.2185,16.3067,80.4365,333.3,399,34.5,1.1,32.3,4.5,35.2,2.6,"['storm', 'clear', 'storm', 'rain', 'clear', 'clear', 'sunny', 'sunny', 'fog', 'clouds']",9
Rajahmundry,Vijayawada,17.0005,81.804,16.5062,80.648,134.8,161,33.3,2.5,38.2,4.0,35.4,3.2,"['rain', 'rain', 'clear', 'clear', 'sunny', 'sunny', 'storm', 'clouds', 'clouds', 'rain']",8
Hyderabad,Warangal,17.385,78.4867,17.9784,79.5941,134.6,161,36.3,3.0,31.3,1.2,35.4,2.1,"['clear', 'clouds', 'clouds', 'clear', 'clear', 'clouds', 'rain', 'sunny', 'fog', 'sunny']",9
Kadapa,Visakhapatnam,14.4674,78.8241,17.6868,83.2185,590.4,708,33.9,4.3,30.5,2.2,32.1,2.9,"['clouds', 'sunny', 'clear', 'rain', 'rain', 'fog', 'rain', 'sunny', 'sunny', 'clouds']",23
Hyderabad,Anantapur,17.385,78.4867,14.6819,77.6006,315.1,378,32.9,3.3,36.7,1.6,34.9,2.5,"['clear', 'clear', 'rain', 'storm', 'sunny', 'fog', 'clouds', 'sunny', 'clear', 'rain']",18
Khammam,Rajahmundry,17.2473,80.1514,17.0005,81.804,177.7,213,32.1,5.0,38.6,4.4,34.0,5.1,"['rain', 'rain', 'clear', 'rain', 'clear', 'rain', 'clouds', 'rain', 'rain', 'clouds']",12
Rajahmundry,Visakhapatnam,17.0005,81.804,17.6868,83.2185,168.4,202,30.6,1.8,37.9,2.0,35.5,2.4,"['clouds', 'clear', 'clouds', 'clouds', 'fog', 'sunny', 'clouds', 'clouds', 'clear', 'sunny']",13
Kadapa,Tirupati,14.4674,78.8241,13.6288,79.4192,113.2,135,35.4,4.2,33.0,2.8,33.5,3.8,"['clouds', 'storm', 'sunny', 'clear', 'fog', 'rain', 'sunny', 'sunny', 'fog', 'clouds']",6
Vijayawada,Kadapa,16.5062,80.648,14.4674,78.8241,299.3,359,37.0,2.7,34.9,4.7,35.6,3.7,"['clear', 'fog', 'fog', 'storm', 'sunny', 'clouds', 'rain', 'sunny', 'fog', 'clear']",14
Karimnagar,Nizamabad,18.4386,79.1288,18.6725,78.0941,112.1,134,33.9,2.7,34.1,4.6,35.7,4.1,"['sunny', 'clouds', 'clouds', 'rain', 'clouds', 'rain', 'rain', 'clear', 'clouds', 'rain']",5
Rajahmundry,Warangal,17.0005,81.804,17.9784,79.5941,258.4,310,33.1,3.2,31.0,1.2,31.4,2.1,"['clouds', 'clouds', 'sunny', 'clouds', 'fog', 'sunny', 'rain', 'rain', 'clouds', 'rain']",8
Karimnagar,Tirupati,18.4386,79.1288,13.6288,79.4192,535.7,642,30.5,3.2,32.8,3.6,30.7,3.3,"['sunny', 'clouds', 'rain', 'clear', 'sunny', 'clear', 'clouds', 'sunny', 'clear', 'sunny']",23
Guntur,Nellore,16.3067,80.4365,14.4426,79.9865,212.8,255,37.3,2.4,33.5,3.4,34.6,2.5,"['rain', 'sunny', 'rain', 'sunny', 'clear', 'clouds', 'clear', 'fog', 'clear', 'rain']",17
Visakhapatnam,Khammam,17.6868,83.2185,17.2473,80.1514,329.0,394,36.2,2.9,37.2,3.6,38.3,3.6,"['clouds', 'clouds', 'fog', 'sunny', 'clear', 'clouds', 'sunny', 'sunny', 'sunny', 'rain']",14
Visakhapatnam,Hyderabad,17.6868,83.2185,17.385,78.4867,502.8,603,36.0,4.8,34.2,4.6,34.3,4.2,"['sunny', 'sunny', 'storm', 'sunny', 'clear', 'clouds', 'sunny', 'clear', 'storm', 'rain']",10
Rajahmundry,Karimnagar,17.0005,81.804,18.4386,79.1288,325.4,390,31.1,3.4,31.8,1.4,33.1,2.5,"['clear', 'clear', 'fog', 'rain', 'clouds', 'rain', 'fog', 'sunny', 'sunny', 'sunny']",14
Vijayawada,Khammam,16.5062,80.648,17.2473,80.1514,97.9,117,30.4,3.0,35.2,1.9,34.3,2.9,"['clear', 'clouds', 'storm', 'rain', 'fog', 'clear', 'clouds', 'fog', 'rain', 'clear']",9
Karimnagar,Nizamabad,18.4386,79.1288,18.6725,78.0941,112.1,134,36.9,4.1,38.6,2.4,36.4,3.3,"['clear', 'rain', 'rain', 'clear', 'sunny', 'clear', 'sunny', 'clouds', 'clouds', 'clouds']",10
Visakhapatnam,Karimnagar,17.6868,83.2185,18.4386,79.1288,440.3,528,34.0,1.4,39.6,3.1,35.5,2.6,"['clouds', 'sunny', 'clouds', 'clouds', 'fog', 'sunny', 'clouds', 'sunny', 'storm', 'sunny']",19
Tirupati,Kadapa,13.6288,79.4192,14.4674,78.8241,113.2,135,34.5,2.8,31.7,1.5,31.8,2.6,"['rain', 'sunny', 'rain', 'sunny', 'fog', 'clouds', 'clear', 'clear', 'sunny', 'clear']",4
Guntur,Nellore,16.3067,80.4365,14.4426,79.9865,212.8,255,33.2,2.7,35.8,2.7,36.0,2.6,"['fog', 'clear', 'clear', 'clear', 'clear', 'sunny', 'clouds', 'clear', 'clouds', 'clouds']",11
Vijayawada,Nellore,16.5062,80.648,14.4426,79.9865,240.2,288,35.3,3.2,38.5,3.5,36.3,3.3,"['fog', 'storm', 'clear', 'clouds', 'rain', 'clouds', 'rain', 'sunny', 'rain', 'clear']",17
Karimnagar,Adilabad,18.4386,79.1288,19.6667,78.5333,150.2,180,39.6,4.6,31.1,3.1,34.3,3.7,"['fog', 'clouds', 'clear', 'clouds', 'clouds', 'fog', 'fog', 'clear', 'sunny', 'fog']",14
Hyderabad,Khammam,17.385,78.4867,17.2473,80.1514,177.4,212,32.5,1.8,38.1,3.5,35.6,2.7,"['storm', 'fog', 'clear', 'rain', 'rain', 'clear', 'clear', 'clear', 'fog', 'clouds']",15
Nellore,Adilabad,14.4426,79.9865,19.6667,78.5333,601.1,721,32.7,2.0,38.5,3.5,34.3,3.2,"['clouds', 'rain', 'clouds', 'clear', 'rain', 'sunny', 'sunny', 'fog', 'fog', 'rain']",18
Karimnagar,Rajahmundry,18.4386,79.1288,17.0005,81.804,325.4,390,35.5,2.0,39.0,1.5,37.0,2.1,"['clouds', 'sunny', 'clouds', 'storm', 'sunny', 'clear', 'sunny', 'clear', 'rain', 'clouds']",15
Hyderabad,Kurnool,17.385,78.4867,15.8281,78.0373,179.6,215,37.3,1.9,40.0,4.3,38.6,3.5,"['clouds', 'sunny', 'sunny', 'clear', 'sunny', 'clear', 'sunny', 'clouds', 'clouds', 'clear']",7
Kadapa,Visakhapatnam,14.4674,78.8241,17.6868,83.2185,590.4,708,37.2,3.8,33.5,4.8,34.1,4.4,"['clouds', 'clear', 'sunny', 'rain', 'clear', 'clear', 'clouds', 'rain', 'rain', 'sunny']",15
Karimnagar,Hyderabad,18.4386,79.1288,17.385,78.4867,135.4,162,34.5,4.9,34.0,4.9,32.8,5.0,"['storm', 'rain', 'sunny', 'sunny', 'clouds', 'clouds', 'rain', 'rain', 'clouds', 'sunny']",9
Rajahmundry,Nizamabad,17.0005,81.804,18.6725,78.0941,434.5,521,35.2,4.1,33.4,4.4,33.2,4.4,"['sunny', 'fog', 'sunny', 'sunny', 'rain', 'sunny', 'clear', 'sunny', 'sunny', 'sunny']",15
Nellore,Warangal,14.4426,79.9865,17.9784,79.5941,395.4,474,30.7,1.1,36.7,2.6,35.0,2.1,"['clear', 'sunny', 'clear', 'clouds', 'rain', 'rain', 'fog', 'clear', 'clouds', 'sunny']",19
Nellore,Tirupati,14.4426,79.9865,13.6288,79.4192,109.2,131,36.6,1.4,31.3,2.7,33.5,1.9,"['clear', 'rain', 'rain', 'clouds', 'fog', 'sunny', 'storm', 'rain', 'sunny', 'sunny']",3
Kadapa,Tirupati,14.4674,78.8241,13.6288,79.4192,113.2,135,38.9,1.0,38.4,2.0,39.8,1.5,"['clouds', 'clear', 'rain', 'clear', 'clear', 'clear', 'storm', 'rain', 'clear', 'rain']",5
Kadapa,Adilabad,14.4674,78.8241,19.6667,78.5333,579.0,694,38.4,4.4,38.0,4.5,40.1,4.0,"['sunny', 'rain', 'clouds', 'clear', 'storm', 'clear', 'clouds', 'clouds', 'sunny', 'sunny']",13
